id,g_ref,g_id,name,phone,y_id,yelp_name,terrasse
1,CoQBcgAAAM1i3eIHOfdN5Hq3VPWUHDYw2PxLstiKiwGJTwPMr2BxdzMCqiPgn_pSWmbbBTysLqpZPJ-17c4O8aLRNjoJ31ojru1auHwi1qhkJOXwyucxBMWS_TTHyDYLyu650tHMdHky6ojnOuAScRLAiAL6qK-CE00zSK-wjGOIpGVehLWCEhDT8mVPSvBge-El1YaTe2XBGhTj9S3mSYZNGKAon_UsmYezvy8OIw,08249ca7587a3be65387967756e2fcefe6e2ba86,"Café de la Paix","+33 1 40 07 36 36",pnCVgnZj7K61Vu4Z-HvkzA,"Café de la Paix",1
2,CoQBcQAAAFs54pPFZkEolNnL5cQn4b4i2RLqXKCxvfyaUt0o5v79Hdw8T1cxK32OIWWVOtLdxRDIlAxZVfj0ruAzWsRYjaLX6Uk0jp4UlQmvDeOyoBJb8VfLpn8Maj2-Ugx8dHq5GPSncZVv0KI6oF1Smd1UN0Q7aiN2xHkqF480sM4a7Lm6EhAC_4iPskRV1FCMFf5LIHyFGhTWOJeg4abXy6Fy40-dsNF-MawC4g,35e76c7865b4b65a2adb4e5b61a946d7a6b8dd08,"Les Deux Magots","+33 1 45 48 55 25",n7r7i_X8x2-9qgbEaBCBIw,"Les Deux Magots",1
3,CnRsAAAAv6nwH6CsL8G5rFAhPcDlzGgSz7sA00pruuQ_Jt010Nz3VeG3BqdciREJfwKBob7vYo_yaaYwXm51WfQ-WE43ZEvZqwTQDHUJo5bo80uS9srmPzJMSrudJCOksM8FJC9xIq_ATAU0BSDFpdIuSWh3OhIQbMKXPoELAxqRM7JoowDwGxoUxxfVtinOUqqld9rawXSbV8j0Gv4,5423771d8d79c21e3dea0cb227e0de423d76b5e8,Berthillon,"+33 1 43 54 31 61",eZ2DpDfJQgVx7iw5Itx_Xw,Berthillon,
4,CnRqAAAA0_LrKUflW4MUTyYTV7QYTT1s4tIOjQj-Sudn3AJepFBjBzfI3FD1YdeaMMkXimKM_zBDbMPqI8y9jn2A4hN3t0eS5oIhuHrDfYdgT9uFGOCado6vodwuv7cm4lqAs6IbcRBbdUhtq7wXtrIYFCovHhIQSeaYbsy-Y0kLL8wCH40Y_xoUje_yph4uvpLi7sgbxChi0T4iQ3k,0b36f7d7d86acea8f0e949e9d5ca3fa1203b1eac,Angelina,"+33 1 42 60 82 00",ijqSzadlZ9SCXvUEpMimcA,Angelina,0
5,CoQBeQAAAHFMxb_6PegE3HzG9Ul4z3H6C85bYolSqea9rqgOL23ICCC5K3_qtEBqddnGf2Zf4-Eh5VB3KB9x3VjWQgQ4eNQ9QyNimiGlI2NpCzgCIQXoBhn28SaS_7ogGFydq0OQIuTVEiAMFvRbv0E3KktxDJfJOMyonmMd4Lx02Tf_ukMvEhBPdqAwDZ2SZfK3UQKysJrSGhSWU6WvEys8e-YJ859PZ8MGUc0f_w,9582c440facc3b75b49030c00a2daadf395677f3,"Café des Deux Moulins","+33 1 42 54 90 50",nHIbZw7Lt9JdOX-inaLV9w,"Café des Deux Moulins",1
6,CpQBgQAAAHZopf8mghJKtXU4LBOWpt8QHrraHXmhUpNksRarpiikTHBY1x9wDRA7yOf3zSWUQ0fvj-1tWcpOe9YJm0RDj5bO5AsmOoPUg6VKqS7K7Lod12itDePH5ldlc5R8s1acSErZYeUNnqxAwCG6ORb3YoZUIDAiNVISMus04ZbLXJYMxBvktk3R4zxOt-U1WJ-LDxIQiYcq_EVs6VsAqNiBdjCcwBoUym3FEFQa_v3Cz2qsmEWclrwz35s,aeb13638ba051ac6bd83602008fd505710fc33af,"Brasserie de L'Isle Saint-Louis","+33 1 43 54 02 59",Fmspc5Xwypd9CYGbSswB1g,"Brasserie de L'Isle Saint-Louis",1
7,CnRtAAAALLvd2u-oJc53TehJRkwyaGAP5mbDhMiT5s2cVpelRMf-mnpDYhBftgERZRLmS9XceTQTKQAadnBjVi8kZ7M2mess28OaN9boXyhne3520Pwt_lPrylTYkZsx6P-ChQurpD3BLQFkD95E4VBzX-XuQRIQ20ri6kPkdtgYch3rj5JNCBoUqiVSXMD_nJzbbT8nZ0_ChQYZfGg,c04cd6418853213f3ba6bdd89b3eb0b8100d162a,"La Palette","+33 1 43 26 68 15",X-2Y9O6s8edZiY6hYZTy7w,"La Palette",1
8,CnRrAAAAXQ-isu5h4ISz4eDYMZuTIgFbWVzXTN81ygwIpC9Pn3rpUJ91Eo_Qefb1Am8ww14SRhBuBbX_62WYFO3OqZ__DAmkgOvV1XdqVla72AJLk64KL5DWV4ErISumGF6r415pezTnmslrc0pKRPk-UIu07BIQNGp2nxurctKtBpKcL9onTRoUoBW6pikTK4uBnyahCKoeJoxFhHk,c8f8451e9b893d8b5e57b87dfb65279d26120408,"Le Zimmer","+33 1 42 36 74 03",l6EDTx6f0arqBmwqEn_xpA,"Le Zimmer",1
9,CoQBeQAAAPmmg3jpYZqTCLO4tKz3w-PffezIQjhffV_AB0GDUntvDxTWPZbiZr09cMpmj43733YeuhDMQ5X5KUYFLHnoexvfKWoNddLA4Ic4KKNYzTNsnwY1VqDzJYdpogqhYi78wc3Yxo1SE2vVzJa0PEDZ0iIqEHiZ3sBitLP2isHeWoVXEhCxYgYYTRuzXZQgmvG7g9kyGhRHWoEWd0bQTgcHMXH9crN_SnL9PA,4039a11b1a5ae2a18257d9c099bb56dfb1375a63,"Le Café des Beaux Arts","+33 1 43 54 08 55",h14nuXVCXsSLDtDyImCZDg,"Le Café des Beaux Arts",1
10,CoQBeAAAANJze37itIu2hB_8w8-dox0Ssbf3PxMgWIop1MAXldYZXNx_weifHHtolrQCbqobtdKvahTROgs4TTS5u6xvHkgcqPi1hR3oxRolVIc1-hmsTM7iMIuKpLWuOIg_PGm0fdWHnWicHmSytVrHQlt3RrqD7P0-mOmlff3BoQpXCSLUEhB-2GrpPcoJKl9MsomDkUlBGhTPBB_5t00aJHMlF5fD7kn0XQOW6g,f43553fd22782989c24f469a0767a09ca706455a,"Cafe la Tour Du Temple","+33 1 42 72 13 44",M3qN0K_cNbIfB_50dIMfNA,"Café A la Tour du Temple",
